frame_id,track_id,x,y,w,h,conf,class_id
24,1,1091.77,480.59,51.43,40.31,1,0
24,2,687.16,420.33,42.94,34.52,1,0
24,1,1226.92,460.22,52.81,48.57,1,1
24,2,1166.20,469.10,69.37,50.51,1,1
24,3,1181.81,505.82,57.05,28.68,1,1
24,4,691.91,399.04,42.30,37.72,1,1
24,5,191.12,204.42,71.00,54.48,1,1
24,6,190.51,495.01,68.71,52.34,1,1
24,7,166.99,166.76,65.15,49.89,1,1
24,8,252.44,191.30,54.90,51.24,1,1
24,9,392.14,466.92,40.65,39.59,1,1
25,1,1100.22,480.71,51.42,40.68,1,0
25,2,693.64,420.85,43.59,34.96,1,0
25,2,1173.36,469.30,70.57,50.17,1,1
25,3,1188.52,506.60,59.02,28.36,1,1
25,4,701.40,397.08,41.30,39.51,1,1
25,5,202.28,204.67,70.83,53.57,1,1
25,6,199.25,496.49,71.33,51.17,1,1
25,7,177.93,168.09,63.75,49.25,1,1
25,8,258.99,191.24,56.67,50.13,1,1
25,9,400.76,464.15,41.91,42.54,1,1
26,1,1108.22,480.04,50.77,40.92,1,0
26,2,702.26,419.13,42.87,35.78,1,0
26,2,1181.62,468.87,69.88,49.85,1,1
26,3,1197.08,505.48,57.87,29.29,1,1
26,4,707.67,399.64,43.31,38.03,1,1
26,5,213.51,205.57,69.33,54.09,1,1
26,6,212.01,492.53,68.88,54.85,1,1
26,7,187.49,168.07,69.66,51.86,1,1
26,8,269.33,191.70,58.24,52.22,1,1
26,9,410.31,463.56,41.31,41.99,1,1
26,10,608.40,136.05,50.69,47.96,1,1
27,1,1117.03,480.00,50.81,40.88,1,0
27,2,710.15,418.91,42.07,37.03,1,0
27,2,1189.53,468.43,70.97,50.41,1,1
27,3,1203.52,508.60,59.10,26.19,1,1
27,4,716.87,397.84,42.59,39.00,1,1
27,5,224.06,206.28,68.24,53.61,1,1
27,6,222.16,495.09,68.36,53.08,1,1
27,7,198.45,168.77,67.98,53.20,1,1
27,8,278.82,197.07,57.19,45.72,1,1
27,9,420.16,465.02,44.01,41.01,1,1
27,10,615.84,133.63,50.87,50.84,1,1
28,1,1124.86,481.13,51.11,40.10,1,0
28,2,717.55,420.18,43.20,35.60,1,0
28,2,1198.45,469.30,70.98,50.41,1,1
28,3,1212.40,506.84,58.85,28.28,1,1
28,4,724.06,398.80,44.38,39.20,1,1
28,5,234.87,205.08,69.72,55.12,1,1
28,6,232.24,495.45,67.81,52.43,1,1
28,7,209.16,167.58,71.04,52.58,1,1
28,8,290.57,191.95,54.39,50.06,1,1
28,9,429.62,467.83,43.75,38.20,1,1
28,10,627.79,134.39,47.25,49.10,1,1
29,1,1133.61,481.32,51.22,39.46,1,0
29,2,725.04,420.57,42.67,35.86,1,0
29,2,1205.85,469.48,71.68,50.51,1,1
29,3,1219.81,508.51,59.35,26.37,1,1
29,4,733.84,399.08,43.66,38.23,1,1
29,5,246.13,205.82,67.95,56.58,1,1
29,6,244.42,495.64,65.53,52.59,1,1
29,7,220.00,167.95,66.45,55.09,1,1
29,8,300.35,194.02,53.95,47.86,1,1
29,9,438.64,466.71,43.87,40.25,1,1
29,10,635.01,134.76,48.26,49.20,1,1
30,1,1141.60,481.21,51.32,39.46,1,0
30,2,731.93,419.52,44.06,37.57,1,0
30,2,1214.97,468.88,65.03,50.05,1,1
30,3,1230.11,510.63,49.89,23.02,1,1
30,4,741.67,399.64,43.41,38.41,1,1
30,5,256.47,206.59,66.89,55.16,1,1
30,6,255.11,494.81,66.34,54.03,1,1
30,7,230.35,168.78,71.58,54.07,1,1
30,9,448.54,465.63,45.32,41.66,1,1
30,10,643.46,136.19,48.72,48.84,1,1
31,1,1151.75,480.24,50.30,40.11,1,0
31,2,739.70,417.81,43.91,37.98,1,0
31,4,751.40,397.76,42.75,38.54,1,1
31,5,268.59,206.36,64.99,55.21,1,1
31,6,265.42,494.53,65.87,53.95,1,1
31,7,241.48,170.06,73.47,52.50,1,1
31,8,323.40,192.66,50.00,52.08,1,1
31,9,458.82,464.50,45.15,41.25,1,1
31,10,650.83,135.92,50.25,49.05,1,1
32,1,1159.73,480.20,51.87,39.64,1,0
32,2,749.36,416.05,43.57,39.21,1,0
32,2,1231.84,468.42,48.16,48.46,1,1
32,4,761.92,397.82,41.90,39.17,1,1
32,5,281.51,205.86,61.47,52.70,1,1
32,6,279.84,492.86,63.29,55.10,1,1
32,7,254.36,169.39,68.47,51.76,1,1
32,8,336.22,191.71,49.43,53.59,1,1
32,9,470.78,464.26,44.57,40.10,1,1
32,10,662.90,133.82,49.45,50.35,1,1
33,1,1171.09,481.72,50.91,40.41,1,0
33,2,758.32,417.00,44.39,38.66,1,0
33,2,1240.93,469.31,39.07,49.53,1,1
33,4,771.77,398.55,42.75,38.59,1,1
33,5,295.16,205.83,64.44,53.52,1,1
33,6,292.74,493.65,62.76,54.22,1,1
33,7,268.13,170.21,68.98,53.16,1,1
33,8,348.50,192.46,48.12,51.60,1,1
33,9,482.03,464.88,46.03,40.46,1,1
33,10,675.04,133.53,47.37,50.82,1,1
34,1,1180.88,480.83,50.14,40.57,1,0
34,2,767.70,415.33,44.18,39.81,1,0
34,4,781.25,397.48,42.93,39.19,1,1
34,5,307.30,206.58,60.78,52.89,1,1
34,6,304.04,492.84,62.88,54.72,1,1
34,7,279.59,169.90,73.69,57.96,1,1
34,8,360.93,193.95,44.93,50.15,1,1
34,9,492.59,465.54,46.95,40.03,1,1
34,10,682.72,137.14,49.54,49.22,1,1
35,1,1190.10,479.80,49.27,39.02,1,0
35,2,776.00,414.57,44.40,39.71,1,0
35,4,790.23,397.80,42.88,38.72,1,1
35,5,319.92,206.45,61.22,53.65,1,1
35,6,317.30,493.46,61.28,53.05,1,1
35,7,292.68,169.35,75.83,53.07,1,1
35,9,502.76,463.65,48.85,40.50,1,1
35,10,693.16,137.50,48.71,47.53,1,1
36,1,1199.61,480.38,50.22,39.26,1,0
36,2,786.72,415.50,43.14,39.37,1,0
36,4,800.98,397.32,43.08,39.63,1,1
36,5,333.13,207.30,62.89,54.51,1,1
36,6,331.20,493.68,61.25,53.62,1,1
36,7,305.29,169.78,79.12,55.20,1,1
36,9,514.61,464.30,48.72,42.04,1,1
36,11,0.18,504.58,36.23,59.23,1,1
37,1,1203.96,481.27,57.24,39.41,1,0
37,2,797.54,414.49,42.98,40.84,1,0
37,4,811.60,397.64,42.75,39.53,1,1
37,5,347.87,207.87,59.82,52.72,1,1
37,6,344.65,494.00,59.18,52.71,1,1
37,7,319.49,171.22,52.20,52.35,1,1
37,9,527.31,463.40,48.31,42.31,1,1
38,1,1214.63,480.85,55.95,38.86,1,0
38,2,807.44,415.16,42.62,39.51,1,0
38,4,821.73,397.02,42.66,38.55,1,1
38,5,360.75,207.68,61.97,53.43,1,1
38,6,358.33,493.09,57.78,52.15,1,1
38,7,332.79,171.22,54.56,52.72,1,1
38,8,417.66,198.94,38.58,44.35,1,1
38,9,538.74,461.82,47.96,42.28,1,1
39,1,1220.84,480.34,59.10,38.44,1,0
39,2,816.12,412.56,42.78,41.72,1,0
39,3,603.30,447.40,37.70,42.70,1,0
39,4,832.36,396.87,42.46,38.69,1,1
39,5,374.30,207.09,60.84,52.70,1,1
39,6,369.93,494.07,58.70,52.70,1,1
39,7,344.96,169.90,59.80,53.97,1,1
39,9,550.74,463.27,46.44,41.81,1,1
40,1,1228.64,480.39,51.36,39.04,1,0
40,2,826.60,414.43,42.02,41.28,1,0
40,4,842.08,398.23,44.23,38.67,1,1
40,5,387.40,206.69,59.60,53.84,1,1
40,6,384.83,498.33,57.74,49.35,1,1
40,7,357.60,168.31,50.30,55.45,1,1
40,9,561.72,463.87,47.28,41.60,1,1
41,2,836.53,414.37,42.81,41.04,1,0
41,4,853.31,397.77,44.38,39.07,1,1
41,5,402.12,208.20,59.76,54.42,1,1
41,6,399.87,496.15,54.92,50.74,1,1
41,7,372.04,171.86,47.90,53.60,1,1
41,9,575.80,464.68,45.30,40.36,1,1
42,1,1248.25,480.95,31.63,38.83,1,0
42,2,848.04,413.04,40.98,42.57,1,0
42,4,864.04,397.14,45.28,39.73,1,1
42,5,417.30,207.44,60.57,54.21,1,1
42,6,413.92,494.45,55.35,51.60,1,1
42,7,386.22,171.15,47.69,52.99,1,1
42,9,587.80,463.37,44.95,40.47,1,1
43,2,858.50,414.35,41.52,41.03,1,0
43,4,872.10,396.46,48.12,39.93,1,1
43,5,430.77,207.52,60.13,54.67,1,1
43,6,427.38,493.50,54.99,53.08,1,1
43,7,400.21,171.88,48.93,53.15,1,1
43,9,599.66,463.56,45.74,40.28,1,1
44,2,868.95,414.12,41.94,41.61,1,0
44,3,656.30,446.60,44.60,41.40,1,0
44,4,0.02,513.36,31.66,50.52,1,0
44,4,881.69,396.00,48.95,40.88,1,1
44,5,444.60,208.35,57.76,54.37,1,1
44,6,441.06,493.17,53.62,53.15,1,1
44,7,413.41,171.72,55.15,56.27,1,1
44,9,610.21,463.57,46.94,39.96,1,1
44,11,60.34,504.63,79.36,58.06,1,1
45,2,878.91,413.01,42.12,42.68,1,0
45,3,668.10,447.30,45.20,40.30,1,0
45,4,0.08,511.95,43.98,57.92,1,0
45,4,894.30,396.37,47.92,39.62,1,1
45,5,458.37,207.89,58.35,54.21,1,1
45,6,456.00,493.96,52.68,52.05,1,1
45,7,427.18,171.45,59.98,56.39,1,1
45,9,624.00,463.85,45.94,39.49,1,1
45,11,74.64,504.59,78.53,57.83,1,1
45,12,0.12,567.03,35.10,50.41,1,1
46,2,890.20,415.37,40.56,40.06,1,0
46,4,906.41,395.57,46.72,41.12,1,1
46,5,472.55,207.88,57.13,53.95,1,1
46,6,470.13,498.46,52.31,48.67,1,1
46,7,441.49,172.52,45.35,54.56,1,1
46,9,635.95,464.60,46.41,39.63,1,1
46,10,817.88,136.79,46.30,49.66,1,1
46,11,88.04,504.23,78.06,59.34,1,1
47,2,900.80,415.99,41.26,39.28,1,0
47,4,916.68,396.99,46.77,39.50,1,1
47,5,486.95,208.39,54.85,51.65,1,1
47,6,482.02,498.65,53.25,47.71,1,1
47,7,454.20,171.82,45.87,56.03,1,1
47,9,647.16,464.16,47.15,39.50,1,1
47,10,829.54,138.02,48.63,48.51,1,1
47,11,102.47,504.80,77.37,58.05,1,1
48,2,908.63,413.44,44.13,41.55,1,0
48,4,929.08,395.61,45.79,40.51,1,1
48,5,500.33,208.50,56.02,53.87,1,1
48,6,496.33,497.45,52.22,48.93,1,1
48,7,467.12,173.35,45.68,54.28,1,1
48,9,659.98,463.53,46.27,40.49,1,1
48,10,839.57,137.35,47.74,49.23,1,1
48,11,116.01,505.51,76.11,57.67,1,1
49,2,918.95,414.98,43.48,39.54,1,0
49,4,939.46,393.76,46.32,41.28,1,1
49,5,514.59,208.07,55.49,53.80,1,1
49,6,511.75,497.85,49.66,48.39,1,1
49,7,480.38,172.87,45.13,53.99,1,1
49,9,672.81,463.53,45.29,40.04,1,1
49,10,851.45,137.24,47.51,48.57,1,1
49,11,130.08,505.44,74.80,57.88,1,1
50,2,931.49,415.87,42.58,39.47,1,0
50,4,949.69,394.58,47.86,40.62,1,1
50,5,528.09,209.08,57.87,53.22,1,1
50,6,526.06,499.07,49.84,47.53,1,1
50,7,494.31,175.43,45.59,54.08,1,1
50,9,685.02,463.60,46.27,40.56,1,1
50,10,862.58,138.11,49.02,48.09,1,1
50,11,144.99,505.84,73.79,57.83,1,1
51,2,942.60,414.61,41.38,40.11,1,0
51,4,962.22,395.14,47.87,40.16,1,1
51,5,543.63,209.48,56.00,53.68,1,1
51,6,540.69,500.90,49.81,45.05,1,1
51,7,508.99,173.17,45.90,55.23,1,1
51,9,697.51,463.39,47.21,40.22,1,1
51,11,159.88,504.72,73.21,58.04,1,1
51,12,0.02,575.65,29.10,35.78,1,1
51,13,161.12,472.88,43.61,28.46,1,1
51,14,0.19,587.45,70.99,53.36,1,1
52,2,954.92,413.91,41.05,40.11,1,0
52,4,51.83,512.12,79.06,56.32,1,0
52,4,975.71,394.99,46.95,41.22,1,1
52,5,560.26,208.87,56.51,54.25,1,1
52,6,556.92,495.53,49.71,49.74,1,1
52,7,526.58,173.16,44.71,54.37,1,1
52,9,712.35,462.99,46.56,39.65,1,1
52,11,176.38,503.52,72.58,58.10,1,1
52,14,11.16,586.37,75.08,54.36,1,1
52,15,74.58,570.93,48.63,48.34,1,1
53,2,964.58,413.23,44.48,41.35,1,0
53,4,66.48,513.31,79.00,54.04,1,0
53,4,988.08,395.60,47.37,40.07,1,1
53,5,576.83,209.18,56.55,51.65,1,1
53,6,572.82,494.40,50.77,51.42,1,1
53,7,539.14,172.97,48.13,55.81,1,1
53,9,726.61,462.42,47.50,40.95,1,1
53,10,902.45,138.30,48.95,47.96,1,1
53,11,192.89,504.54,70.84,57.26,1,1
53,14,29.65,587.68,71.53,52.92,1,1
53,15,86.81,569.96,51.05,48.72,1,1
54,2,980.83,414.52,40.33,39.57,1,0
54,4,82.77,514.15,76.41,53.44,1,0
54,4,998.72,396.06,49.66,40.28,1,1
54,5,592.81,209.18,56.62,54.34,1,1
54,6,587.82,493.56,51.66,52.00,1,1
54,7,557.61,173.56,46.16,55.14,1,1
54,9,739.79,462.83,48.04,39.88,1,1
54,10,917.86,138.72,47.50,48.09,1,1
54,11,209.37,504.12,70.57,58.05,1,1
54,14,46.40,587.62,70.51,53.44,1,1
54,15,103.65,570.14,48.70,49.78,1,1
55,2,992.26,415.02,40.81,40.09,1,0
55,4,98.49,514.45,74.66,54.18,1,0
55,4,1010.89,395.63,51.14,41.88,1,1
55,5,610.00,211.56,55.77,53.53,1,1
55,6,604.66,496.66,50.68,49.98,1,1
55,7,572.79,174.85,48.17,55.70,1,1
55,9,754.45,463.26,48.19,41.55,1,1
55,10,932.96,139.88,45.41,48.72,1,1
55,11,225.64,504.83,69.20,58.12,1,1
55,14,63.16,590.11,68.41,51.35,1,1
55,15,116.31,572.07,50.80,48.08,1,1
56,2,1001.99,415.05,42.25,39.08,1,0
56,4,113.02,513.12,74.11,53.84,1,0
56,5,769.21,440.99,43.63,25.83,1,0
56,4,1023.67,398.20,51.61,38.28,1,1
56,5,624.90,210.17,57.75,53.66,1,1
56,6,619.74,496.11,50.65,49.27,1,1
56,7,588.62,174.64,48.86,55.69,1,1
56,9,767.74,462.74,48.73,39.99,1,1
56,10,947.99,139.03,45.20,48.82,1,1
56,11,242.22,503.91,67.62,57.91,1,1
56,14,79.10,588.39,66.16,52.43,1,1
56,15,130.33,569.31,50.63,49.85,1,1
57,2,1006.81,413.09,50.90,40.87,1,0
57,4,128.29,512.68,72.25,55.47,1,0
57,5,781.03,442.31,47.11,24.68,1,0
57,4,1037.00,396.78,50.38,38.47,1,1
57,5,640.19,209.08,60.90,53.60,1,1
57,6,635.41,495.70,49.89,49.85,1,1
57,7,604.73,173.43,48.68,56.25,1,1
57,9,782.03,462.84,49.08,39.84,1,1
57,11,256.99,505.49,67.83,57.29,1,1
57,14,96.04,590.19,64.97,51.51,1,1
57,15,145.71,570.58,48.92,49.77,1,1
58,2,1017.87,413.64,51.53,39.29,1,0
58,4,142.51,513.94,72.15,56.22,1,0
58,5,792.96,438.51,48.59,28.08,1,0
58,4,1047.75,399.03,51.89,35.69,1,1
58,5,656.37,209.97,58.22,53.80,1,1
58,6,650.79,495.96,50.88,50.11,1,1
58,7,620.18,173.20,48.34,56.92,1,1
58,9,795.18,462.02,48.39,40.56,1,1
58,11,272.87,505.42,67.42,59.04,1,1
58,14,112.79,593.81,59.96,50.53,1,1
58,15,158.87,572.68,50.17,49.59,1,1
59,2,1031.91,413.75,50.44,40.35,1,0
59,4,158.64,513.06,70.27,54.62,1,0
59,5,807.65,438.75,50.31,28.49,1,0
59,4,1060.01,396.86,53.51,39.12,1,1
59,5,672.96,209.54,57.55,53.38,1,1
59,6,667.22,496.29,50.69,48.99,1,1
59,7,635.77,173.85,48.92,56.07,1,1
59,9,809.95,462.63,49.50,39.94,1,1
59,11,290.60,504.42,64.56,58.29,1,1
59,14,129.91,589.94,59.06,51.16,1,1
59,15,175.82,569.76,47.97,48.54,1,1
60,2,1041.08,414.76,53.80,39.56,1,0
60,4,173.56,510.46,69.97,56.06,1,0
60,5,821.97,440.87,50.52,26.33,1,0
60,4,1073.85,396.55,53.63,40.09,1,1
60,5,690.86,209.53,57.77,53.04,1,1
60,6,683.85,496.19,50.11,48.80,1,1
60,7,652.73,173.38,49.90,57.17,1,1
60,9,824.27,462.67,50.03,39.75,1,1
60,11,306.55,503.75,64.40,57.69,1,1
60,14,146.70,588.40,64.57,51.65,1,1
60,15,189.92,569.47,48.88,48.70,1,1
60,16,121.00,575.85,50.48,54.44,1,1
61,2,1051.70,414.67,54.78,39.33,1,0
61,4,188.67,510.87,67.80,55.78,1,0
61,5,833.74,435.66,49.82,30.56,1,0
61,4,1085.67,396.33,54.44,39.60,1,1
61,5,706.48,209.96,58.22,51.72,1,1
61,6,698.48,496.85,52.29,47.65,1,1
61,7,668.04,174.58,50.00,55.67,1,1
61,9,838.48,462.55,50.07,39.96,1,1
61,11,321.87,503.30,63.61,57.82,1,1
61,14,163.17,587.61,62.58,51.38,1,1
61,15,203.09,569.04,49.79,48.16,1,1
61,16,136.66,575.36,50.38,53.93,1,1
61,17,136.60,574.98,52.90,53.86,1,1
62,2,1063.59,414.78,53.76,38.42,1,0
62,3,900.30,457.90,35.50,35.50,1,0
62,4,202.60,513.48,68.15,54.72,1,0
62,5,845.63,437.23,51.24,30.02,1,0
